,Time (ms),Voltage (mV),Voltage (mA),Force (Grams)
399,76698,57,1,0
400,76901,57,1,0
401,77114,56,1,0
402,77310,57,1,0
403,77504,57,1,0
404,77697,57,1,0
405,77890,57,1,0
406,78084,57,1,0
407,78281,57,1,0
408,78472,57,1,0
409,78662,57,1,0
410,78854,57,1,0
411,79051,57,1,0
412,79262,57,1,0
413,79459,57,1,0
414,79653,57,1,0
415,79849,57,1,0
416,80043,57,1,0
417,80253,56,1,0
418,80460,56,1,0
419,80655,57,1,0
420,80859,57,1,0
421,81059,57,1,0
422,81261,57,1,0
423,81457,56,1,0
424,81653,57,1,0
425,81847,57,1,0
426,82043,57,1,0
427,82222,57,1,0
428,82403,57,1,0
429,82584,57,1,0
430,82766,57,1,0
431,82949,57,1,0
432,83129,57,1,0
433,83318,57,1,0
434,83509,57,1,0
435,83694,57,1,0
436,83877,57,1,0
437,84057,57,1,0
438,84244,57,1,0
439,84422,57,1,0
440,84629,57,1,0
441,84807,56,1,0
442,84987,56,1,0
443,85166,56,1,0
444,85344,57,1,0
445,85537,57,1,0
446,85717,57,1,0
447,85902,57,1,0
448,86082,57,1,0
449,86260,57,1,0
450,86439,57,1,0
451,86615,57,1,0
452,86796,57,1,0
453,86975,57,1,0
454,87153,57,1,0
455,87332,57,1,0
456,87521,57,1,0
457,87704,57,1,0
458,87884,57,1,0
459,88060,57,1,0
460,88234,57,1,0
461,88436,57,1,0
462,88616,57,1,0
463,88797,57,1,0
464,89001,57,1,0
465,89178,56,1,0
466,89356,57,1,0
467,89533,57,1,0
468,89721,57,1,0
469,89899,57,1,0
470,90082,56,1,0
471,90261,57,1,0
472,90445,57,1,0
473,90625,56,1,0
474,90807,57,1,0
475,90992,57,1,0
476,91173,57,1,0
477,91351,57,1,0
478,91529,56,1,0
479,91722,57,1,0
480,91910,57,1,0
481,92091,57,1,0
482,92270,57,1,0
483,92446,56,1,0
484,92626,57,1,0
485,92808,57,1,0
486,92993,57,1,0
487,93192,57,1,0
488,93376,57,1,0
489,93552,57,1,0
490,93741,57,1,0
491,93942,57,1,0
492,94120,57,1,0
493,94306,57,1,0
494,94485,57,1,0
495,94663,57,1,0
496,94842,57,1,0
497,95044,57,1,0
498,95224,57,1,0
499,95401,57,1,0
500,95586,56,1,0
501,95772,57,1,0
502,96163,56,1,0
503,96360,57,1,0
504,96584,57,1,0
505,96842,57,1,0
506,97123,57,1,0
507,97411,56,1,0
508,97664,56,1,0
509,97928,57,1,0
510,98109,57,1,0
511,98284,57,1,0
512,98468,57,1,0
513,98635,57,1,0
514,98806,57,1,0
515,99005,57,1,0
516,99215,57,1,0
517,99399,57,1,0
518,99570,57,1,0
519,99747,57,1,0
520,99943,57,1,0
521,100154,57,1,0
522,100327,57,1,0
523,100507,56,1,0
524,100678,57,1,0
525,100863,57,1,0
526,101050,57,1,0
527,101266,57,1,0
528,101485,56,1,0
529,101696,57,1,0
530,101926,57,1,0
531,102150,57,1,0
532,102406,57,1,0
533,102684,56,1,0
534,102942,57,1,0
535,103123,57,1,0
536,103308,57,1,0
537,103498,57,1,0
538,103673,57,1,0
539,103855,57,1,0
540,104036,57,1,0
541,104262,57,1,0
542,104441,57,1,0
543,104626,57,1,0
544,104806,57,1,0
545,104979,57,1,0
546,105212,57,1,0
547,105469,57,1,0
548,105744,56,1,0
549,105970,57,1,0
550,106195,57,1,0
551,106406,57,1,0
552,106594,57,1,0
553,106780,57,1,0
554,106965,57,1,0
555,107151,57,1,0
556,107332,57,1,0
557,107514,57,1,0
558,107697,57,1,0
559,107876,57,1,0
560,108060,57,1,0
561,108238,57,1,0
562,108424,57,1,0
563,108613,57,1,0
564,108792,57,1,0
565,108973,57,1,0
566,109157,57,1,0
567,109346,57,1,0
568,109524,57,1,0
569,109738,57,1,0
570,109925,57,1,0
571,110107,57,1,0
572,110291,57,1,0
573,110477,57,1,0
574,110668,57,1,0
575,110853,57,1,0
576,111033,57,1,0
577,111213,57,1,0
578,111390,57,1,0
579,111575,57,1,0
580,111763,56,1,0
581,111952,57,1,0
582,112137,57,1,0
583,112317,57,1,0
584,112499,57,1,0
585,112697,57,1,0
586,112900,57,1,0
587,113087,57,1,-1
588,113272,57,1,-1
589,113455,57,1,-1
590,113636,57,1,-1
591,113868,57,1,-1
592,114064,0,1,-1
593,114247,0,1,-1
594,114456,0,1,-1
595,114650,0,1,-1
596,114851,0,1,-1
597,115036,0,1,-1
598,115227,0,1,-1
599,115413,0,1,-1
600,115601,0,1,-1
601,115789,0,1,-1
602,115975,0,1,-1
603,116162,0,1,-1
604,116350,0,1,-1
605,116537,0,1,-1
606,116731,0,1,-1
607,116940,0,1,-1
608,117127,0,1,-1
609,117318,0,1,-1
610,117507,0,1,-1
611,117698,0,1,-1
612,117882,0,1,-1
613,118094,0,1,-1
