,filename,reduced_filename,pixel_mean,pixel_min,pixel_max
67,G5_R3D_STC_w597.tif,gelatin_plate_1_stitched/G5_R3D_STC_w597_reduced.jpg,1153.9825309008675,0,2844
68,G6_R3D_STC_w435.tif,gelatin_plate_1_stitched/G6_R3D_STC_w435_reduced.jpg,169.1440522765306,0,26420
69,G6_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G6_R3D_STC_w-50_reduced.jpg,1785.7174904910246,0,5585
70,G6_R3D_STC_w525.tif,gelatin_plate_1_stitched/G6_R3D_STC_w525_reduced.jpg,117.72192237173734,0,4598
71,G6_R3D_STC_w597.tif,gelatin_plate_1_stitched/G6_R3D_STC_w597_reduced.jpg,1123.2277145926068,0,3332
72,G7_R3D_STC_w435.tif,gelatin_plate_1_stitched/G7_R3D_STC_w435_reduced.jpg,120.51942783859613,0,17070
73,G7_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G7_R3D_STC_w-50_reduced.jpg,1907.730030970689,0,5463
74,G7_R3D_STC_w525.tif,gelatin_plate_1_stitched/G7_R3D_STC_w525_reduced.jpg,119.94492262611517,0,21176
75,G7_R3D_STC_w597.tif,gelatin_plate_1_stitched/G7_R3D_STC_w597_reduced.jpg,2167.0971640872854,0,33078
76,G8_R3D_STC_w435.tif,gelatin_plate_1_stitched/G8_R3D_STC_w435_reduced.jpg,871.1815263726401,0,17460
77,G8_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G8_R3D_STC_w-50_reduced.jpg,7337.627491766688,0,26313
78,G8_R3D_STC_w525.tif,gelatin_plate_1_stitched/G8_R3D_STC_w525_reduced.jpg,272.87868327394074,0,23789
79,G8_R3D_STC_w597.tif,gelatin_plate_1_stitched/G8_R3D_STC_w597_reduced.jpg,1550.4930293681844,0,48366
80,G9_R3D_STC_w435.tif,gelatin_plate_1_stitched/G9_R3D_STC_w435_reduced.jpg,134.42406664850043,0,19969
81,G9_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G9_R3D_STC_w-50_reduced.jpg,11651.296223810217,0,35842
82,G9_R3D_STC_w525.tif,gelatin_plate_1_stitched/G9_R3D_STC_w525_reduced.jpg,119.69112372348752,0,2777
83,G9_R3D_STC_w597.tif,gelatin_plate_1_stitched/G9_R3D_STC_w597_reduced.jpg,1310.3944494909047,0,9499
84,G10_R3D_STC_w435.tif,gelatin_plate_1_stitched/G10_R3D_STC_w435_reduced.jpg,752.4986219968131,0,15134
85,G10_R3D_STC_w-50.tif,gelatin_plate_1_stitched/G10_R3D_STC_w-50_reduced.jpg,9894.278975634832,0,46241
86,G10_R3D_STC_w525.tif,gelatin_plate_1_stitched/G10_R3D_STC_w525_reduced.jpg,178.10513246895195,0,12682
87,G10_R3D_STC_w597.tif,gelatin_plate_1_stitched/G10_R3D_STC_w597_reduced.jpg,1387.6260927339276,0,22664
