#Digilent WaveForms Impedance Analyzer - Phase
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg)
190546.0717963248,-29.52240512874921
199526.2314968881,-20.73358084106436
208929.613085404,-24.67698125881359
218776.1623949553,-36.34993276186317
229086.7652767773,-27.45968229064544
239883.2919019491,-27.17242661273486
251188.6431509582,-44.5993334020436
263026.7991895382,-32.17248093150626
275422.8703338167,-25.30650242070113
288403.1503126606,-32.60826738421279
301995.1720402017,-34.87521165014032
316227.766016838,-39.89792101719892
331131.121482591,-43.98759396081376
346736.8504525317,-38.55825158285168
363078.0547701015,-44.47897084358315
380189.3963205612,-38.61357772562254
398107.1705534974,-47.29784924828218
416869.3834703353,-57.9618515298387
436515.832240166,-40.6974853900512
457088.1896148752,-51.27519634641511
478630.0923226383,-57.57053481107157
501187.2336272725,-59.28883708100302
524807.4602497725,-52.78031739561884
549540.8738576246,-60.87214814186758
575439.9373371572,-55.18193318334879
602559.5860743576,-60.06475650601708
630957.3444801933,-47.87445092139215
660693.4480075957,-61.1241340100735
691830.9709189365,-74.32143651438395
724435.9600749902,-81.30299505060238
758577.5750291836,-74.13537140935755
794328.2347242816,-76.32162127849448
831763.7711026713,-74.98841996127295
870963.5899560805,-75.62726670309664
912010.8393559098,-77.92693222743446
954992.5860214357,-81.99833048444437
1000000,-78.54394820603241
