#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
19054.60717963249,-11.60591265423581,442.1276563330277
19952.62314968881,-11.24379338018599,440.5624090620283
20892.96130854039,-10.87739312229112,439.1353430125315
21877.61623949554,-10.50618160616932,437.3677869298094
22908.67652767775,-10.15229141519701,435.8227308358511
23988.32919019491,-9.811923557004571,434.4049937765558
25118.86431509582,-9.463216790034915,433.1017502872909
26302.67991895384,-9.160197797823328,432.0834412846168
27542.28703338168,-8.842805259622292,431.0697813175016
28840.31503126608,-8.534780328445855,429.7001979390875
30199.51720402019,-8.220521036799104,428.5158557859813
31622.77660168381,-7.943881319455333,427.4606446834252
33113.11214825913,-7.661369122792641,426.3642230251278
34673.68504525317,-7.37785394189345,425.4770454295501
36307.80547701016,-7.125566097572594,424.6420687297347
38018.93963205612,-6.862565223288685,423.7105075671065
39810.71705534973,-6.620179977106431,422.7500627479192
41686.93834703357,-6.337529068475924,421.8376052668831
43651.58322401661,-6.111159843731824,420.8907731306332
45708.81896148752,-5.869183414590301,419.9929800624619
47863.00923226388,-5.640483219091429,419.4489290029835
50118.72336272725,-5.400070771237512,418.7022519961615
52480.74602497728,-5.186798809211409,418.0741914165279
54954.08738576245,-4.980402599633693,417.3921977821535
57543.99373371572,-4.779501204510368,416.8091893543141
60255.95860743581,-4.556604890639044,416.1195919950798
63095.73444801933,-4.365168426870751,415.3767288378015
66069.34480075965,-4.144213086636961,414.6743377883731
69183.09709189367,-3.950819469750928,414.2897520481194
72443.59600749903,-3.752301035131601,413.5946836920204
75857.75750291844,-3.549404845899378,413.3953833891641
79432.82347242818,-3.348046658947485,412.8175053039803
83176.37711026713,-3.17086606731197,412.4384536232378
87096.35899560805,-3.010944262137857,411.9380770288527
91201.08393559101,-2.812227431244465,411.4413345090539
95499.25860214364,-2.616618153705686,411.0194242294382
100000,-2.444630558437806,410.3671406928682
104712.85480509,-2.265451040433944,410.0229015783297
109647.8196143186,-2.117088974972168,409.8498170847193
114815.3621496883,-1.928635082670006,409.5858339070213
120226.4434617413,-1.768576921044927,409.4439781693462
125892.5411794167,-1.568483437374079,409.0679924548955
131825.6738556407,-1.418875680753162,408.9306941567352
138038.4264602886,-1.219800930978204,408.3199265220455
144543.9770745928,-1.043638637639249,408.1778297654631
151356.1248436209,-0.8792258864465371,407.7690083295406
158489.3192461114,-0.6987116225108372,407.5403489410747
165958.6907437561,-0.5211211397737306,407.3506752757154
173780.0828749376,-0.3516216194030189,407.2491246520143
181970.0858609984,-0.1678392846314865,407.582234877081
190546.0717963248,0.01070307017679579,407.3725520914512
199526.2314968881,0.1936673370596713,407.0742792393864
208929.613085404,0.3828192298534543,407.0550081311109
218776.1623949553,0.5895831902471107,406.8509458167094
229086.7652767773,0.7738488498221655,407.0339351536508
239883.2919019491,0.9620453139623819,406.9710810097459
251188.6431509582,1.133940413565553,407.1653454058093
263026.7991895382,1.34477639540566,407.1161746780314
275422.8703338167,1.553882230505687,407.2269565570072
288403.1503126606,1.771236318751036,407.4066644016646
301995.1720402017,1.979916585825187,407.6248569821474
316227.766016838,2.189161570916323,407.8072493054134
331131.121482591,2.393112395148489,407.8816679366758
346736.8504525317,2.644047206391956,408.2206768337864
363078.0547701015,2.871173239824912,408.616911465004
380189.3963205612,3.095464791913362,409.0695472566075
398107.1705534974,3.343466157425429,409.5359601602317
416869.3834703353,3.553570683733259,410.0199239140898
436515.832240166,3.811458023965639,410.7294970405955
457088.1896148752,4.044946609713715,411.1291650492656
478630.0923226383,4.296090119811596,411.7470717360411
501187.2336272725,4.593180645415407,412.4140118081705
524807.4602497725,4.833961697437163,413.3179985968989
549540.8738576246,5.111922015351358,414.2535693731451
575439.9373371572,5.400205103180039,415.2162327944499
602559.5860743576,5.667570770389984,416.3371854192146
630957.3444801933,5.960303383193556,417.7028602900573
660693.4480075957,6.249489373319151,418.718064964296
691830.9709189365,6.569819716346982,420.1266202490791
724435.9600749902,6.849425298425532,421.4895821707009
758577.5750291836,7.145165195514423,422.9627350135337
794328.2347242816,7.44284240456745,424.9048557411901
831763.7711026713,7.741251573087856,426.7318613827736
870963.5899560805,8.046126950570317,428.6873271854032
912010.8393559098,8.346174429710578,431.0422842202606
954992.5860214357,8.659914538046655,433.2238908097705
1000000,8.965373494299529,435.6362489266083
