#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery3
#Serial Number: SN:210415B99FD9
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Resistor: 1000 Ω
#Average: 1
#ProbeResistance: 1.008e+06 Ω
#ProbeCapacitance: 4e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#Channel: Channel 1
#Range: 5.24066 V
#Offset: 0.000240203 V
#Attenuation: 1 X
#Channel: Channel 2
#Range: 5.25098 V
#Offset: 0.000230232 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
36307.80547701016,-5.292626430761206,518.5697425530896
38018.93963205612,-5.080397656196516,517.9479116289696
39810.71705534973,-4.876653234770284,517.1906823174726
41686.93834703357,-4.686892636292655,516.5780758203518
43651.58322401661,-4.498224273259969,516.0636799699112
45708.81896148752,-4.317008604174097,515.5087919329419
47863.00923226388,-4.136398323212377,514.8830816420443
50118.72336272725,-3.981769005076572,514.3685514474001
52480.74602497728,-3.794900849086469,513.671005857646
54954.08738576245,-3.646150788407615,513.2363890292321
57543.99373371572,-3.473002107583876,512.8472203830806
60255.95860743581,-3.309497321688301,512.4717392235624
63095.73444801933,-3.17211435464144,512.0986037323146
66069.34480075965,-3.03067423233136,511.5286948557786
69183.09709189367,-2.902806919694298,511.1376703410454
72443.59600749903,-2.719968458588683,510.772401606455
75857.75750291844,-2.577675851137351,510.283884362211
79432.82347242818,-2.46481347852008,510.0538579240625
83176.37711026713,-2.325545640112985,509.6867711493991
87096.35899560805,-2.186312851435723,509.2417847057537
91201.08393559101,-2.070167397274747,509.0739500295351
95499.25860214364,-1.924704991326602,508.7888315436371
100000,-1.803689224722695,508.7358393626264
104712.85480509,-1.687953579516533,508.4878609578017
109647.8196143186,-1.563787703135424,508.1160646796031
114815.3621496883,-1.462651863709756,507.6818178770486
120226.4434617413,-1.331813073214142,507.6670097290872
125892.5411794167,-1.198561290350927,507.3905559717569
131825.6738556407,-1.120511723243777,507.4577536417021
138038.4264602886,-0.9811582030730407,507.1647588749788
144543.9770745928,-0.8776054728838002,507.1593334080006
151356.1248436209,-0.7842277214710713,506.9174617729115
158489.3192461114,-0.6740259346574465,506.6531494934192
165958.6907437561,-0.5298720638590418,506.3835169300186
173780.0828749376,-0.4209443487276069,506.4922938973677
181970.0858609984,-0.3147515138869528,506.5600542868237
190546.0717963248,-0.191149166831372,506.2351917559744
199526.2314968881,-0.09379370831443269,506.3125936007227
208929.613085404,0.02552622587723136,506.2223089802386
218776.1623949553,0.1300642760659285,506.3815873086374
229086.7652767773,0.2684943682642418,506.3699430798405
239883.2919019491,0.3686264783048455,506.5295221718401
251188.6431509582,0.4974992673096332,506.5287458597334
263026.7991895382,0.6120897698554594,506.5222094826791
275422.8703338167,0.737567431231813,506.6295757726995
288403.1503126606,0.8776842329882171,506.738769951351
301995.1720402017,0.9664600919321578,506.9982342774925
316227.766016838,1.098390127500011,507.1525198728435
331131.121482591,1.24115162962889,507.2681071546178
346736.8504525317,1.371698850976145,507.6304902850102
363078.0547701015,1.502272965141529,507.8908715255061
380189.3963205612,1.652043249519666,508.1606667262409
398107.1705534974,1.745675607070135,508.606945532495
416869.3834703353,1.907522501244737,508.9455781092005
436515.832240166,2.031585978542807,509.2567996756848
457088.1896148752,2.182181628590691,509.7094713059113
478630.0923226383,2.340642976164296,510.390045260164
501187.2336272725,2.490061735206022,510.8168825398585
524807.4602497725,2.644987440352008,511.4770169069384
549540.8738576246,2.795531499512924,512.1500179119832
575439.9373371572,2.950322262351782,512.7654057157848
602559.5860743576,3.091145362528101,513.5096846247246
630957.3444801933,3.25799839069071,514.3150498351829
660693.4480075957,3.41509819983598,515.24543955203
691830.9709189365,3.59817266615169,516.3634277927122
724435.9600749902,3.74567325931448,517.4264437355935
758577.5750291836,3.914660458432239,518.5980893028664
794328.2347242816,4.08986411091299,519.7508466799522
831763.7711026713,4.24851529604581,521.2204415818845
870963.5899560805,4.424709772521854,522.4754294333392
912010.8393559098,4.58711515861094,524.0709811585604
954992.5860214357,4.734797983079162,525.5769644486979
1000000,4.920010467575985,527.4519259341149
